Show,Gigabytes,Seasons,AveragePerSeason,currently_on_air
24,69,9,7.666,9,0
3rd Rock From the Sun,25,6,4.166,6,0
Adventure Time,19,8,2.375,8,1
ALF,18,4,4.500,4,0
American Horror Story,23,6,3.833,6,1
Animaniacs,24,5,4.800,5,0
Anne of Green Gables,3.6,1,3.600,1,0
Aqua Teen Hunger Force,13,14,.928,11,0
Archer,12,7,1.714,8,1
Arrested Development,13,4,3.250,4,0
Arrow,30,5,6.000,5,1
A Series of Unfortunate Events,2.1,1,2.100,1,1
Avatar The Last Airbender,6.9,3,2.300,3,0
Avonlea,31,7,4.428,7,0
Babylon 5,22,5,4.400,5,0
Batman the Animated Series,19,5,3.800,4,0
Battlestar Galactica,19,4,4.750,4,0
Big Love,8.1,5,1.620,5,0
Blackadder,9.8,5,1.960,4,0
Black Mirror,3.4,3,1.133,3,1
Boardwalk Empire,15,5,3.000,5,0
Bob's Burgers,12,7,1.714,7,1
Breaking Bad,21,5,4.200,5,0
Burn Notice,39,7,5.571,7,0
Castle (2009),52,8,6.500,1,0
Chuck,32,5,6.400,5,0
Code Monkeys,4.3,2,2.150,2,0
Community,18,6,3.000,6,0
Con Man,2.5,1,2.500,1,0
Criminal Minds,82,12,6.833,1,1
Daredevil,7.9,2,3.950,2,1
Dead Like Me,6.9,2,3.450,2,0
Dexter,43,8,5.375,8,0
Dilbert,3.9,2,1.950,2,0
Doctor Who,173,26,6.653,26,0
Doctor Who (2005),47,10,4.700,1,1
Downton Abbey,17,6,2.833,6,0
Dragonball Z,19,9,2.111,16,0
Falling Skies,19,5,3.800,5,0
Family Guy,40,15,2.666,2,1
Firefly,5.1,1,5.100,1,0
Flight of the Conchords,5.5,2,2.750,2,0
Freaks and Geeks,3.5,1,3.500,1,0
Friends,33,10,3.300,10,0
Futurama,21,7,3.000,7,0
Game of Thrones,26,6,4.333,7,1
Garfunkel and Oates,1.5,1,1.500,1,0
Ghost Adventures,54,9,6.000,1,1
Gilmore Girls,43,7,6.142,2,0
Girls,9.1,6,1.516,6,1
Glee,41,6,6.833,6,0
Gotham,14,3,4.666,3,1
Grey's Anatomy,88,13,6.769,2,1
Hart of Dixie,21,4,5.250,4,0
Harvey Birdman,5.8,4,1.450,4,UNKNOWN
Home Movies,7.1,4,1.775,4,0
House Of Cards,16,4,4.000,5,1
How I Met Your Mother,37,9,4.111,9,0
It's Always Sunny in Philadelphia,16,12,1.333,12,1
iZombie,6.4,2,3.200,3,1
Jane the Virgin,12,3,4.000,3,1
Jessica Jones,3.1,1,3.100,1,1
Justified,17,6,2.833,6,0
Keeping Up Appearances,5.6,5,1.120,5,0
Kung Fu Panda,13,3,4.333,3,0
Law and Order SVU,124,17,7.294,7,1
Leverage,26,5,5.200,5,0
Luke Cage,2.9,1,2.900,1,1
Macgyver (1985),17,7,2.428,7,0
Macgyver (2016),3.1,1,3.100,1,1
Mad About You,21,7,3.000,7-1,0
Mad Men,31,7,4.428,7,0
Masters of Sex,9.2,4,2.300,4,0
Metalocalypse,7.6,5,1.520,4,0
Modern Family,32,8,4.000,8,1
Monk,43,8,5.375,8,0
Monty Pythons Flying Circus,20,4,5.000,4,0
Mr Bean,2.2,1,2.200,1,0
Mr Robot,6.8,2,3.400,2,1
MST3K,82,11,7.454,10,0
Mythbusters,88,16,5.500,2016-0,0
New Girl,19,6,3.166,6,1
NewsRadio,9.5,5,1.900,5,0
Orange is the new Black,29,4,7.250,5,1
Parenthood,36,6,6.000,6,0
Parks and Recreation,26,7,3.714,7,0
Project Runway,9.1,2,4.550,15-0,1
Psych,42,8,5.250,8,0
Reba,11,6,1.833,6,0
Red Dwarf,18,11,1.636,11,1
Red vs. Blue- The Blood Gulch Chronicles,6.5,9,.722,9,1
